tr1,br1,d1,t2,xr1,yr1,xr2,yr2,xr3,yr3,EAB
10.949,14.544,1.302,9.099,13.382,3.966,12.048,4.361,11.598,5.211,141
6.888,15.753,1.734,8.486,13.468,5.634,15.19,6.353,14.812,5.019,136
9.29,12.653,1.442,8.152,12.694,4.454,11.547,5.881,10.421,4.017,138
7.752,14.794,1.696,8.976,13.747,5.437,12.532,4.616,15.041,5.302,138
6.189,18.106,1.082,9.735,13.719,3.285,14.862,4.36,14.061,5.785,138
9.995,19.685,1.904,8.914,14.573,4.969,12.482,3.333,10.369,4.56,136
11.368,18.13,1.806,8.584,11.161,3.839,13.037,5.308,15.406,3.822,140
10.878,14.897,1.026,8.229,14.31,6.324,12.789,4.525,10.246,6.28,139
11.232,14.193,1.491,9.888,10.823,5.504,11.863,4.381,11.568,4.513,141
5.374,19.56,1.677,9.49,14.35,3.981,11.711,3.259,13.635,4.577,136
7.797,13.56,1.595,8.783,12.42,3.679,10.542,5.788,11.28,4.882,138
9.674,19.871,1.894,8.32,10.861,6.248,12.164,6.402,14.784,3.358,141
9.551,17.616,1.666,8.586,13.927,4.658,14.703,3.139,10.378,3.083,139
6.12,18.89,1.584,9.944,12.984,6.212,10.811,3.149,10.854,3.948,136
8.608,17.203,1.214,8.79,12.2,5.632,10.365,3.337,11.857,4.303,137
6.662,15.979,1.361,9.42,14.062,3.848,10.054,3.809,12.272,5.019,137
9.988,17.221,1.608,8.931,10.355,3.795,15.213,4.375,10.228,3.811,141
8.427,12.133,1.674,8.135,10.283,4.114,11.185,6.076,15.401,4.443,138
7.376,12.745,1.161,9.346,12.134,5.777,12.793,4.148,11.164,4.145,138
10.5,13.447,1.628,8.111,15.341,5.161,10.156,5.286,15.406,4.926,138
6.199,18.913,1.043,8.917,13.753,3.403,12.494,3.639,11.667,6.156,137
5.504,16.976,1.413,8.686,11.457,3.012,14.725,5.873,13.408,6.029,137
9.358,12.822,1.199,8.841,11.955,6.004,13.407,4.588,11.743,6.409,140
10.084,15.24,1.742,9.147,10.897,5.812,10.95,3.524,13.299,5.443,141
10.479,17.695,1.911,8.503,11.258,4.264,10.447,3.505,10.317,3.67,133
